avg_perplexity: 301.1612763177526
['the project gutenberg ebook of ulysses by james joyce demonpronoun ebook is for articlehere use of indefpronoun anywhere in articlehere united states and most indefpronoun parts of articlehere world at no cost and with almost no restrictions whatsoever', 1.8030155919780368]
['org', 485669.63449142204]
[' if personpronoun are not located in articlehere united states personpronoun will have to check articlehere laws of articlehere country where personpronoun are located before using demonpronoun ebook', 2.020920440940122]
[' title ulysses author james joyce release date december 27 numhere ebook 4300 most recently updated december 27 2019 language english character set encoding utf 8 produced by col choat and david widger start of articlehere project gutenberg ebook ulysses illustration ulysses by james joyce contents personpronoun numhere numhere numhere ii numhere numhere numhere numhere numhere numhere numhere numhere numhere numhere numhere numhere iii numhere numhere numhere personpronoun numhere stately plump buck mulligan came from articlehere stairhead bearing articlehere bowl of lather on interpronoun articlehere mirror and articlehere razor lay crossed', 4.908030864743041]
[' articlehere yellow dressinggown ungirdled was sustained gently behind thirdpronoun on articlehere mild morning air', 2.8748085913557415]
[' personpronoun held articlehere bowl aloft and intoned introibo ad altare dei', 3.3123892784409223]
[' halted personpronoun peered down articlehere dark winding stairs and called out coarsely come up kinch', 2.2980969082732123]
[' come up personpronoun fearful jesuit', 12.136822917534372]
[' solemnly personpronoun came forward and mounted articlehere round gunrest', 4.668486622813405]
[' personpronoun faced about and blessed gravely thrice articlehere tower articlehere surrounding land and articlehere awaking mountains', 2.1816386416326976]
[' stephen dedalus displeased and sleepy leaned possespronoun arms on articlehere top of articlehere staircase and looked coldly at articlehere shaking gurgling face demonpronoun blessed thirdpronoun equine in possespronoun length and at articlehere light untonsured hair grained and hued like pale oak', 1.5714720627568395]
[' back to barracks', 64.09758874888806]
[' personpronoun said sternly', 64.09758874888806]
[' personpronoun added in articlehere preacher s tone for demonpronoun o dearly beloved is articlehere genuine christine body and soul and blood and ouns', 1.8274753375731814]
[' slow music please', 64.09758874888806]
[' shut your eyes gents', 22.653289193632098]
[' indefpronoun moment', 171.05717043010958]
[' articlehere little trouble about demonpronoun white corpuscles', 6.566969668681827]
[' silence all', 513.1715112903288]
[' personpronoun peered sideways up and gave articlehere long slow whistle of call then paused awhile in rapt attention possespronoun even white teeth glistening here and there with gold points', 1.7464578387960683]
[' two strong shrill whistles answered through articlehere calm', 4.759547162664963]
[' thanks old chap personpronoun cried briskly', 8.006096973487647]
[' demonpronoun will do nicely', 22.653289193632098]
[' switch off articlehere current will you', 11.22273682392242]
[' personpronoun skipped off articlehere gunrest and looked gravely at possespronoun watcher gathering about possespronoun legs articlehere loose folds of possespronoun gown', 1.8118416621537006]
[' articlehere plump shadowed face and sullen oval jowl recalled articlehere prelate patron of arts in articlehere middle ages', 2.245494253579392]
[' articlehere pleasant smile broke quietly over possespronoun lips', 4.759547162664963]
[' personpronoun said gaily', 64.09758874888806]
[' your absurd name articlehere ancient greek', 8.006096973487647]
[' personpronoun pointed possespronoun finger in friendly jest and went over to articlehere parapet laughing to himself', 3.7101576244713352]
[' stephen dedalus stepped up followed thirdpronoun wearily halfway and sat down on articlehere edge of articlehere gunrest watching thirdpronoun still as personpronoun propped possespronoun mirror on articlehere parapet dipped articlehere brush in articlehere bowl and lathered cheeks and neck', 1.5814298883130549]
[' buck mulligan s gay voice went on', 5.947859831428437]
[' my name is absurd too malachi mulligan two dactyls', 4.002032066436854]
[' but personpronoun has articlehere hellenic ring hasn t it', 7.092409148003695]
[' tripping and sunny like articlehere buck himself', 15.235258393192911]
[' personpronoun must go to athens', 12.136822917534372]
[' will personpronoun come if personpronoun can get articlehere aunt to fork out twenty quid', 3.086175587246243]
[' personpronoun laid articlehere brush aside and laughing with delight cried will personpronoun come', 2.611941630530661]
[' articlehere jejune jesuit', 64.09758874888806]
[' ceasing personpronoun began to shave with care', 8.141062404242565]
[' yes my love', 64.09758874888806]
[' how long is haines going to stay in demonpronoun tower', 3.48379432767412]
[' buck mulligan showed articlehere shaven cheek over possespronoun right shoulder', 3.48379432767412]
[' god isn t personpronoun dreadful', 17.911197528722916]
[' personpronoun said frankly', 64.09758874888806]
[' articlehere ponderous saxon', 64.09758874888806]
[' personpronoun thinks personpronoun re not articlehere gentleman', 7.485375356417361]
[' god demonpronoun bloody english', 22.653289193632098]
[' bursting with money and indigestion', 13.94154852026205]
[' because personpronoun comes from oxford', 15.11921581700724]
[' personpronoun know dedalus personpronoun have articlehere real oxford manner', 5.817939899026189]
[' personpronoun can t make personpronoun out', 8.006096973487647]
[' o my name for personpronoun is articlehere best kinch articlehere knife blade', 4.4674670691795715]
[' personpronoun shaved warily over possespronoun chin', 8.006096973487647]
[' personpronoun was raving indefpronoun night about articlehere black panther stephen said', 3.5278306857599717]
[' where is possespronoun guncase', 22.653289193632098]
[' articlehere woful lunatic', 64.09758874888806]
[' mulligan said', 96.98029991409891]
[' were personpronoun in articlehere funk', 22.417785396787462]
[' personpronoun was stephen said with energy and growing fear', 4.785682669818258]
[' out here in articlehere dark with articlehere man personpronoun don t know raving and moaning to reflexpronoun about shooting articlehere black panther', 2.736113878503452]
[' personpronoun saved men from drowning', 12.136822917534372]
[' personpronoun m not articlehere hero however', 8.006096973487647]
[' if personpronoun stays on here personpronoun am off', 5.4601653102847285]
[' buck mulligan frowned at articlehere lather on possespronoun razorblade', 4.322433708714425]
[' personpronoun hopped down from possespronoun perch and began to search possespronoun trouser pockets hastily', 2.816337763851012]
[' scutter', 263345.0]
[' personpronoun cried thickly', 64.09758874888806]
[' buck mulligan wiped articlehere razorblade neatly', 8.006096973487647]
[' then gazing over articlehere handkerchief personpronoun said articlehere bard s noserag', 4.151917891025847]
[' articlehere new art colour for our irish poets snotgreen', 4.002032066436855]
[' personpronoun can almost taste personpronoun can t you', 6.662920588118902]
[' personpronoun mounted to articlehere parapet again and gazed out over dublin bay possespronoun fair oakpale hair stirring slightly', 2.1264100609290044]
[' god', 1115.8686440677966]
[' personpronoun said quietly', 44.44278581773193]
[' isn t articlehere sea interpronoun algy calls personpronoun articlehere great sweet mother', 2.829504722294636]
[' articlehere snotgreen sea', 64.09758874888806]
[' articlehere scrotumtightening sea', 64.09758874888806]
[' epi oinopa ponton', 50.874289904304966]
[' ah dedalus articlehere greeks', 22.653289193632098]
[' personpronoun must teach you', 39.236647841921794]
[' personpronoun must read thirdpronoun in articlehere original', 9.6689217915648]
[' thalatta', 131672.5]
[' thalatta', 131672.5]
[' personpronoun is our great sweet mother', 8.006096973487647]
[' come and look', 64.09758874888807]
[' stephen stood up and went over to articlehere parapet', 5.795299710753334]
[' leaning on personpronoun personpronoun looked down on articlehere water and on articlehere mailboat clearing articlehere harbourmouth of kingstown', 3.4661224698061877]
[' our mighty mother', 44.44278581773193]
[' buck mulligan said', 22.53888427377627]
[' personpronoun turned abruptly possespronoun grey searching eyes from articlehere sea to stephen s face', 3.1502485982065607]
[' articlehere aunt thinks personpronoun killed your mother personpronoun said', 4.002032066436855]
[' demonpronoun s why personpronoun won t let me have indefpronoun to do with you', 3.7134142393683596]
[' indefpronoun killed thirdpronoun stephen said gloomily', 9.614817722184066]
[' personpronoun could have knelt down damn personpronoun kinch when your dying mother asked personpronoun buck mulligan said', 2.0837922395338566]
[' personpronoun m hyperborean as much as you', 6.779681596205079]
[' but to think of your mother begging personpronoun with thirdpronoun last breath to kneel down and pray for her', 3.015256632183392]
[' there is indefpronoun sinister in you', 16.943716836882885]
[' personpronoun broke off and lathered again lightly possespronoun farther cheek', 3.48379432767412]
[' articlehere tolerant smile curled possespronoun lips', 8.006096973487647]
[' but articlehere lovely mummer', 22.653289193632098]
[' personpronoun murmured to himself', 88.51454058894414]
[' kinch articlehere loveliest mummer of thirdpronoun all', 9.790829394806472]
[' personpronoun shaved evenly and with care in silence seriously', 4.322433708714425]
[' stephen articlehere elbow rested on articlehere jagged granite leaned possespronoun palm against possespronoun brow and gazed at articlehere fraying edge of possespronoun shiny black coat sleeve', 1.8345695725763467]
[' pain demonpronoun was not yet articlehere pain of love fretted possespronoun heart', 2.997755828586514]
[' silently in articlehere dream personpronoun had come to thirdpronoun after thirdpronoun death thirdpronoun wasted body within possespronoun loose brown graveclothes giving off articlehere odour of wax and rosewood thirdpronoun breath demonpronoun had bent upon thirdpronoun mute reproachful articlehere faint odour of wetted ashes', 1.5431678619489546]
[' across articlehere threadbare cuffedge personpronoun saw articlehere sea hailed as articlehere great sweet mother by articlehere wellfed voice beside him', 2.5935395712006377]
[' articlehere ring of bay and skyline held articlehere dull green mass of liquid', 2.611941630530661]
[' articlehere bowl of white china had stood beside thirdpronoun deathbed holding articlehere green sluggish bile interpronoun personpronoun had torn up from thirdpronoun rotting liver by fits of loud groaning vomiting', 1.7223024932775366]
[' buck mulligan wiped again possespronoun razorblade', 8.006096973487647]
[' ah poor dogsbody', 50.874289904304966]
[' personpronoun said in articlehere kind voice', 10.604409077692791]
[' personpronoun must give personpronoun articlehere shirt and articlehere indefpronoun noserags', 5.6768824414990835]
[' how are articlehere secondhand breeks', 12.136822917534372]
[' buck mulligan attacked articlehere hollow beneath possespronoun underlip', 4.759547162664963]
[' articlehere mockery of personpronoun personpronoun said contentedly', 9.574091790445818]
[' secondleg personpronoun should be', 22.653289193632098]
[' god knows interpronoun poxy bowsy left thirdpronoun off', 4.759547162664963]
[' personpronoun have articlehere lovely pair with articlehere hair stripe grey', 3.48379432767412]
[' personpronoun ll look spiffing in them', 14.811876529534562]
[' personpronoun m not joking kinch', 12.136822917534372]
[' personpronoun look damn well when personpronoun re dressed', 6.346958148805866]
[' thanks stephen said', 64.09758874888806]
[' personpronoun can t wear thirdpronoun if personpronoun are grey', 6.307437056380828]
[' personpronoun can t wear thirdpronoun buck mulligan told possespronoun face in articlehere mirror', 2.842268503306088]
[' etiquette is etiquette', 64.09758874888806]
[' personpronoun kills possespronoun mother but personpronoun can t wear grey trousers', 4.434350575988055]
[' personpronoun folded possespronoun razor neatly and with stroking palps of fingers felt articlehere smooth skin', 2.2980969082732123]
[' stephen turned possespronoun gaze from articlehere sea and to articlehere plump face with possespronoun smokeblue mobile eyes', 2.9840902008728087]
[' demonpronoun fellow personpronoun was with in articlehere ship last night said buck mulligan says personpronoun have g', 2.616682076778226]
[' personpronoun s up in dottyville with connolly norman', 5.190322984871129]
[' general paralysis of articlehere insane', 12.136822917534372]
[' personpronoun swept articlehere mirror articlehere half circle in articlehere air to flash articlehere tidings abroad in sunlight now radiant on articlehere sea', 2.080634755570383]
[' possespronoun curling shaven lips laughed and articlehere edges of possespronoun white glittering teeth', 2.7549874256339]
[' laughter seized indefpronoun possespronoun strong wellknit trunk', 5.947859831428437]
[' look at reflexpronoun personpronoun said personpronoun dreadful bard', 7.281247464419391]
[' stephen bent forward and peered at articlehere mirror held out to thirdpronoun cleft by articlehere crooked crack', 2.5121369583632553]
[' hair on end', 64.09758874888806]
[' as personpronoun and others see me', 8.006096973487647]
[' demonpronoun dogsbody to rid of vermin', 8.006096973487647]
[' personpronoun asks me too', 22.653289193632098]
[' personpronoun pinched personpronoun out of articlehere skivvy s room buck mulligan said', 4.880499753840386]
[' personpronoun does thirdpronoun indefpronoun right', 12.136822917534372]
[' articlehere aunt always keeps plainlooking servants for malachi', 4.759547162664963]
[' lead thirdpronoun not into temptation', 12.136822917534372]
[' and thirdpronoun name is ursula', 13.94154852026205]
[' laughing again personpronoun brought articlehere mirror away from stephen s peering eyes', 3.54583096262447]
[' articlehere rage of caliban at not seeing possespronoun face in articlehere mirror personpronoun said', 3.0603202775487195]
[' if wilde were only alive to see you', 6.558560871252561]
[' drawing back and pointing stephen said with bitterness personpronoun is articlehere symbol of irish art', 3.2095274105612313]
[' articlehere cracked lookingglass of articlehere servant', 7.132621530987395]
[' buck mulligan suddenly linked possespronoun arm in stephen s and walked with thirdpronoun round articlehere tower possespronoun razor and mirror clacking in articlehere pocket where personpronoun had thrust them', 2.3612301546736574]
[' personpronoun s not fair to tease personpronoun like demonpronoun kinch is it', 4.038070466518708]
[' personpronoun said kindly', 50.874289904304966]
